"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1773189490913194133","Thu Mar 28 03:24:53 +0000 2024","0","Mau cerita sedikit jadi gw baru pindah store di tempat kerja gw. Baru 3bulan gw di store baru gw dan anehnya di daerah store gw tu banyak punglinya bahkan dari pihak rt/rw setempat sering banget minta uang iuran embel demi kenyaman lingkungan sekitar. Di store gw sebelumnya &gt;","1773189490913194133","","","in","jakarta","0","4","0","https://x.com/md__nght/status/1773189490913194133","2369007931","md__nght"
"1773172792797561286","Thu Mar 28 02:18:32 +0000 2024","0","Neo japan yg kerja dijapan juga dibully sih bukan bully secara fisik tpi mental. Tpi ttp aja bully Nah tpi ni sejak pindah engga lagi kok aku liatnya dia enak2 aja di jepang .","1773172792797561286","","","in"," 🦊♥️","0","1","0","https://x.com/MsHwang0921_/status/1773172792797561286","1049501450043150336","MsHwang0921_"
"1773031545671926093","Thu Mar 28 02:16:25 +0000 2024","0","@Roccaska488 @anggaandinata buat sarana investasi aja sih sya juga ga main crypto cuma invest disana alhmdulilah porto dari 2022- sekarang udh naik 4x lipat. uang kerja sya taruh sana rencana 2025 sya tarik profit &amp; modalnya sisain 20% kiranya masih naik.. habis itu baru pindah ke saham nunggu crypto winter","1773172262125830324","","Roccaska488","in","","0","0","0","https://x.com/FahmiRafianto/status/1773172262125830324","1681484852485566469","FahmiRafianto"
"1772950538285371478","Thu Mar 28 02:09:23 +0000 2024","0","@mygemboy september deng.. kek sblm kmu pindah kerja kt sempet sposes bbrp kali. kuingetny pas ak msh wfh.","1773170488862216579","","mygemboy","in","","0","1","0","https://x.com/altheaaaa___/status/1773170488862216579","1628150054","altheaaaa___"
"1773148096735658183","Thu Mar 28 02:04:25 +0000 2024","0","@rockbeatblues Pindah gedungnya apa pindah perusahaan kak? Seingatku kamu kerja di daerah Jakarta?","1773169241669116402","","rockbeatblues","in","Indonesia","0","1","0","https://x.com/onnygiri/status/1773169241669116402","935053250285387776","onnygiri"
"1773167893858988149","Thu Mar 28 01:59:04 +0000 2024","0","Nak pindah tapi bila fikirkan situasi tempat kerja sekarang dah okay sgt takpela hadap je la perjalanan jauh.","1773167893858988149","","","in","","0","0","0","https://x.com/kk_2902/status/1773167893858988149","1467099334688739328","kk_2902"
"1772876342561837552","Thu Mar 28 01:54:53 +0000 2024","0","@tanyakanrl Mending sender pindah kontrakan.. nyari kos dulu yg sesuai budget... kalo udah toxic gini.. takutnya keluarganya dirumah nggak aman pas sendernya berangkat kerja....","1773166842015555641","","tanyakanrl","in","Yogyakarta, Indonesia","0","0","0","https://x.com/Xiao_Meigui/status/1773166842015555641","2421727890","Xiao_Meigui"
"1773160359181881365","Thu Mar 28 01:29:08 +0000 2024","0","Akhirnyaaaaa pindah meja kerja ga lagi among tamuu ","1773160359181881365","","","in","","0","0","0","https://x.com/iipaahh/status/1773160359181881365","237511464","iipaahh"
"1772981110810526199","Thu Mar 28 01:20:22 +0000 2024","0","@worksfess Umur 35 dulu asmen. Trus pindah bidang kerja jadi staff biasa lagi. ","1773158156568273073","","worksfess","in","Jekardah","0","0","0","https://x.com/t_yudehis/status/1773158156568273073","419213859","t_yudehis"
"1773148456325915078","Thu Mar 28 00:41:50 +0000 2024","0","Pengen resign pindah tempet kerja baru di luar daerah.","1773148456325915078","","","in","Kota Pangkal Pinang","0","0","0","https://x.com/whtsuppgirl/status/1773148456325915078","166541260","whtsuppgirl"
